Date,Price,Open,High,Low,Vol.,Change %,Index
2023-04-28,2649.9,2622.2,2650.4,2618.8,463.46M,1.07,Technology
2023-05-01,2654.8,2649.9,2667.0,2645.5,388.98M,0.18,Technology
2023-05-02,2630.1,2654.8,2660.8,2617.2,411.98M,-0.93,Technology
2023-05-03,2608.3,2630.1,2650.5,2607.6,464.52M,-0.83,Technology
2023-05-04,2595.5,2608.3,2612.1,2585.4,492.10M,-0.49,Technology
2023-05-05,2665.9,2595.5,2674.4,2595.5,474.74M,2.71,Technology
2023-05-08,2665.4,2665.9,2667.5,2647.3,373.50M,-0.02,Technology
2023-05-09,2642.6,2665.4,2665.4,2640.5,367.80M,-0.86,Technology
2023-05-10,2675.0,2642.6,2681.2,2642.6,424.04M,1.22,Technology
2023-05-11,2663.0,2676.3,2676.3,2644.9,376.60M,-0.45,Technology
2023-05-12,2657.0,2663.0,2669.9,2636.5,352.11M,-0.22,Technology
2023-05-15,2676.6,2657.0,2677.3,2648.8,342.34M,0.74,Technology
2023-05-16,2681.0,2676.6,2696.2,2674.5,397.62M,0.16,Technology
2023-05-17,2715.4,2681.0,2718.8,2678.4,442.51M,1.28,Technology
2023-05-18,2771.4,2715.4,2774.8,2715.4,515.53M,2.06,Technology
2023-05-19,2768.3,2771.4,2776.1,2759.6,443.51M,-0.11,Technology
2023-05-22,2772.0,2768.3,2779.8,2755.4,386.69M,0.13,Technology
2023-05-23,2730.4,2772.0,2772.0,2729.9,403.05M,-1.5,Technology
2023-05-24,2713.4,2730.4,2730.4,2697.2,422.15M,-0.62,Technology
2023-05-25,2834.1,2713.4,2845.8,2713.4,713.61M,4.45,Technology
2023-05-26,2910.0,2834.1,2914.1,2834.1,610.79M,2.68,Technology
2023-05-30,2928.2,2910.0,2970.2,2910.0,588.60M,0.63,Technology
2023-05-31,2896.3,2928.2,2939.4,2896.3,902.31M,-1.09,Technology
2023-06-01,2934.8,2896.3,2945.5,2883.6,511.39M,1.33,Technology
2023-06-02,2949.8,2934.8,2963.8,2929.5,425.64M,0.51,Technology
2023-06-05,2933.3,2949.8,2970.3,2926.6,465.40M,-0.56,Technology
2023-06-06,2929.7,2933.3,2935.5,2911.1,406.30M,-0.12,Technology
2023-06-07,2882.3,2929.7,2948.0,2876.9,476.16M,-1.62,Technology
2023-06-08,2916.8,2882.3,2921.1,2882.3,383.22M,1.2,Technology
2023-06-09,2930.4,2916.8,2960.2,2916.8,404.31M,0.46,Technology
2023-06-12,2991.2,2930.4,2992.2,2930.4,490.42M,2.07,Technology
2023-06-13,3012.5,2991.2,3023.2,2986.1,569.40M,0.71,Technology
2023-06-14,3046.9,3012.5,3047.2,3001.1,541.14M,1.14,Technology
2023-06-15,3085.8,3046.9,3100.1,3035.3,550.45M,1.28,Technology
2023-06-16,3060.4,3085.8,3110.6,3058.6,802.77M,-0.83,Technology
2023-06-20,3046.9,3053.8,3065.3,3028.5,468.95M,-0.44,Technology
2023-06-21,3003.8,3046.9,3046.9,2991.0,480.68M,-1.41,Technology
2023-06-22,3031.5,3003.8,3031.8,2989.9,410.77M,0.92,Technology
2023-06-23,2998.1,3031.5,3031.5,2985.3,522.76M,-1.1,Technology
2023-06-26,2967.1,2998.1,3025.5,2966.8,399.79M,-1.03,Technology
2023-06-27,3027.7,2967.1,3034.0,2967.1,389.26M,2.04,Technology
2023-06-28,3026.9,3027.7,3045.6,3007.2,397.89M,-0.03,Technology
2023-06-29,3030.8,3026.9,3037.8,3014.8,380.68M,0.13,Technology
2023-06-30,3085.8,3030.8,3091.5,3030.8,453.20M,1.82,Technology
2023-07-03,3076.3,3085.8,3087.3,3064.2,200.77M,-0.31,Technology
2023-07-05,3059.1,3076.3,3084.6,3055.0,341.88M,-0.56,Technology
2023-07-06,3054.2,3059.1,3059.1,3021.3,347.54M,-0.16,Technology
2023-07-07,3040.9,3054.2,3078.7,3039.8,326.25M,-0.44,Technology
2023-07-10,3040.3,3040.9,3040.9,3012.0,389.43M,-0.02,Technology
2023-07-11,3046.2,3040.3,3048.8,3018.0,350.84M,0.19,Technology
2023-07-12,3084.4,3046.2,3100.1,3046.2,435.66M,1.25,Technology
2023-07-13,3130.5,3084.4,3136.9,3084.4,360.76M,1.49,Technology
2023-07-14,3125.8,3130.5,3170.3,3116.4,438.98M,-0.15,Technology
2023-07-17,3167.4,3125.8,3174.6,3125.8,387.48M,1.33,Technology
2023-07-18,3207.3,3167.4,3224.1,3142.8,427.88M,1.26,Technology
2023-07-19,3198.5,3207.3,3230.6,3185.5,430.77M,-0.27,Technology
2023-07-20,3133.2,3198.5,3198.5,3123.1,468.15M,-2.04,Technology
2023-07-21,3123.4,3133.2,3166.3,3120.4,716.76M,-0.31,Technology
2023-07-24,3131.5,3123.4,3146.9,3118.8,334.91M,0.26,Technology
2023-07-25,3168.7,3131.5,3180.2,3131.5,351.00M,1.19,Technology
2023-07-26,3127.6,3168.7,3168.7,3105.1,407.09M,-1.3,Technology
2023-07-27,3117.0,3127.6,3180.2,3104.5,485.32M,-0.34,Technology
2023-07-28,3163.1,3117.0,3172.5,3117.0,493.06M,1.48,Technology
2023-07-31,3167.1,3163.1,3172.5,3150.1,385.99M,0.13,Technology
2023-08-01,3169.9,3167.1,3177.3,3147.3,368.18M,0.09,Technology
2023-08-02,3087.8,3169.9,3169.9,3075.1,559.65M,-2.59,Technology
2023-08-03,3078.0,3087.8,3096.5,3063.1,448.07M,-0.32,Technology
2023-08-04,3032.0,3078.0,3084.2,3028.9,515.77M,-1.49,Technology
2023-08-07,3040.1,3032.0,3056.1,3016.6,407.22M,0.27,Technology
2023-08-08,3016.5,3040.1,3040.1,2987.1,409.16M,-0.78,Technology
2023-08-09,2970.9,3016.5,3019.8,2960.2,406.37M,-1.51,Technology
2023-08-10,2971.2,2970.9,3020.6,2957.2,384.10M,0.01,Technology
2023-08-11,2945.0,2971.2,2971.2,2934.6,365.13M,-0.88,Technology
2023-08-14,2999.6,2945.0,2999.7,2934.4,403.35M,1.85,Technology
2023-08-15,2972.2,2999.6,3007.4,2966.9,371.40M,-0.91,Technology
2023-08-16,2945.9,2972.2,2984.2,2945.4,374.00M,-0.88,Technology
2023-08-17,2917.5,2945.9,2963.8,2911.6,423.60M,-0.96,Technology
2023-08-18,2920.7,2917.5,2932.6,2880.4,415.33M,0.11,Technology
2023-08-21,2986.8,2920.7,2991.3,2920.7,403.05M,2.26,Technology
2023-08-22,2979.6,2986.8,3016.6,2972.5,347.56M,-0.24,Technology
2023-08-23,3036.8,2979.6,3045.0,2979.6,397.35M,1.92,Technology
2023-08-24,2971.4,3036.8,3080.0,2969.8,522.19M,-2.15,Technology
2023-08-25,2995.8,2971.4,3016.2,2950.5,416.25M,0.82,Technology
2023-08-28,3020.2,2995.8,3024.2,2991.0,332.47M,0.81,Technology
2023-08-29,3084.0,3020.2,3088.2,3008.6,384.77M,2.11,Technology
2023-08-30,3109.7,3084.0,3115.3,3077.0,401.24M,0.83,Technology
2023-08-31,3121.2,3109.7,3134.8,3109.7,478.57M,0.37,Technology
2023-09-01,3128.2,3121.2,3146.6,3114.2,361.63M,0.23,Technology
2023-09-05,3140.4,3128.2,3149.7,3110.4,366.87M,0.39,Technology
2023-09-06,3097.3,3140.4,3140.4,3079.7,383.53M,-1.37,Technology
2023-09-07,3048.6,3097.3,3097.3,3022.0,498.43M,-1.57,Technology
2023-09-08,3054.9,3048.6,3076.1,3047.3,380.73M,0.21,Technology
2023-09-11,3068.8,3054.9,3084.3,3040.8,382.05M,0.45,Technology
2023-09-12,3015.2,3068.8,3068.8,3010.2,461.08M,-1.75,Technology
2023-09-13,3024.6,3015.2,3040.9,3005.9,402.31M,0.31,Technology
2023-09-14,3045.8,3024.6,3052.9,3024.1,376.91M,0.7,Technology
2023-09-15,2986.6,3045.8,3045.8,2978.7,683.25M,-1.95,Technology
