"Date","Price","Open","High","Low","Vol.","Change %"
"07/28/2021","2,683.0","2,685.5","2,697.0","2,658.3","519.36M","-0.10%"
"07/27/2021","2,685.5","2,712.8","2,712.8","2,652.9","469.56M","-1.01%"
"07/26/2021","2,712.8","2,713.4","2,717.1","2,696.9","318.82M","-0.02%"
"07/23/2021","2,713.4","2,686.8","2,714.7","2,686.8","374.20M","0.99%"
"07/22/2021","2,686.8","2,667.8","2,689.2","2,667.8","396.06M","0.71%"
"07/21/2021","2,667.8","2,641.8","2,667.8","2,637.5","389.45M","0.98%"
"07/20/2021","2,641.8","2,603.4","2,656.7","2,601.8","419.06M","1.47%"
"07/19/2021","2,603.4","2,640.2","2,640.2","2,588.8","483.05M","-1.39%"
"07/16/2021","2,640.2","2,666.1","2,684.1","2,637.5","388.43M","-0.97%"
"07/15/2021","2,666.1","2,688.7","2,688.7","2,652.1","411.67M","-0.84%"
"07/14/2021","2,688.7","2,669.2","2,701.6","2,669.2","393.91M","0.73%"
"07/13/2021","2,669.2","2,657.5","2,688.0","2,651.8","361.63M","0.44%"
"07/12/2021","2,657.5","2,656.4","2,667.7","2,649.6","322.92M","0.04%"
"07/09/2021","2,656.4","2,631.4","2,658.1","2,625.3","358.01M","0.95%"
"07/08/2021","2,631.4","2,655.9","2,655.9","2,603.2","397.06M","-0.92%"
"07/07/2021","2,655.9","2,642.9","2,662.7","2,636.0","398.41M","0.49%"
"07/06/2021","2,642.9","2,633.3","2,654.8","2,617.1","413.75M","0.37%"
"07/02/2021","2,633.3","2,597.1","2,635.1","2,597.1","357.73M","1.39%"
"07/01/2021","2,597.1","2,594.5","2,597.6","2,581.4","376.36M","0.10%"
"06/30/2021","2,594.5","2,597.0","2,600.1","2,586.5","391.89M","-0.10%"
"06/29/2021","2,597.0","2,578.8","2,598.2","2,573.9","328.53M","0.70%"
"06/28/2021","2,578.8","2,550.5","2,581.2","2,550.5","317.17M","1.11%"
"06/25/2021","2,550.5","2,554.3","2,558.5","2,547.6","436.21M","-0.15%"
"06/24/2021","2,554.3","2,538.0","2,562.1","2,538.0","326.81M","0.64%"
